Entry	Entry Name	Gene Names	Gene Names (ordered locus)	Protein names	Gene Ontology IDs	Gene Ontology (biological process)	Gene Ontology (molecular function)	Gene Ontology (cellular component)
Q9I4F5	DCTA2_PSEAE	dctA2 dctA PA1183	PA1183	C4-dicarboxylate transport protein 2	GO:0005886; GO:0006835; GO:0015138; GO:0015141; GO:0015366; GO:0015740; GO:0070778	C4-dicarboxylate transport [GO:0015740]; dicarboxylic acid transport [GO:0006835]; L-aspartate transmembrane transport [GO:0070778]	fumarate transmembrane transporter activity [GO:0015138]; malate:proton symporter activity [GO:0015366]; succinate transmembrane transporter activity [GO:0015141]	plasma membrane [GO:0005886]
Q9I6H1	CARO_PSEAE	carO PA0320	PA0320	Calcium-regulated OB-fold protein CarO (Bacterial OB-fold domain-containing protein)	GO:0042597; GO:0046677; GO:0046686; GO:0046689; GO:0051592; GO:0055074; GO:0071585	calcium ion homeostasis [GO:0055074]; detoxification of cadmium ion [GO:0071585]; response to antibiotic [GO:0046677]; response to cadmium ion [GO:0046686]; response to calcium ion [GO:0051592]; response to mercury ion [GO:0046689]		periplasmic space [GO:0042597]
Q9I6J1	SPUD_PSEAE	spuD PA0300	PA0300	Putrescine-binding periplasmic protein SpuD	GO:0015846; GO:0015847; GO:0019809; GO:0019810; GO:0030288	polyamine transport [GO:0015846]; putrescine transport [GO:0015847]	putrescine binding [GO:0019810]; spermidine binding [GO:0019809]	outer membrane-bounded periplasmic space [GO:0030288]
Q9I6J2	SPUC_PSEAE	spuC PA0299	PA0299	Putrescine--pyruvate aminotransferase (PATase) (EC 2.6.1.113) (Putrescine--pyruvate transaminase)	GO:0004015; GO:0008483; GO:0009102; GO:0009447; GO:0009448; GO:0030170	biotin biosynthetic process [GO:0009102]; gamma-aminobutyric acid metabolic process [GO:0009448]; putrescine catabolic process [GO:0009447]	adenosylmethionine-8-amino-7-oxononanoate transaminase activity [GO:0004015]; pyridoxal phosphate binding [GO:0030170]; transaminase activity [GO:0008483]	
Q9I6Z1	PK21A_PSEAE	ppk2 PA0141	PA0141	GDP-polyphosphate phosphotransferase (EC 2.7.4.34) (Polyphosphate kinase PPK2 1)	GO:0006183; GO:0006754; GO:0008976	ATP biosynthetic process [GO:0006754]; GTP biosynthetic process [GO:0006183]	polyphosphate kinase activity [GO:0008976]	
G3XCU2	ARGR_PSEAE	argR PA0893	PA0893	HTH-type transcriptional regulator ArgR	GO:0000976; GO:0001216; GO:0001217; GO:0006351; GO:0006355; GO:0032993; GO:0045893; GO:1900079; GO:1900081	DNA-templated transcription [GO:0006351]; positive regulation of DNA-templated transcription [GO:0045893]; regulation of arginine biosynthetic process [GO:1900079]; regulation of arginine catabolic process [GO:1900081]; regulation of DNA-templated transcription [GO:0006355]	DNA-binding transcription activator activity [GO:0001216]; DNA-binding transcription repressor activity [GO:0001217]; transcription cis-regulatory region binding [GO:0000976]	protein-DNA complex [GO:0032993]
G3XCX7	PILP_PSEAE	pilP PA5041	PA5041	Type IV pilus inner membrane component PilP	GO:0005886; GO:0043107; GO:0043683; GO:0044096	type IV pilus assembly [GO:0043683]; type IV pilus-dependent motility [GO:0043107]		plasma membrane [GO:0005886]; type IV pilus [GO:0044096]
G3XCZ8	PIGA_PSEAE	pigA PA0672	PA0672	Heme oxygenase PigA (EC 1.14.99.58)	GO:0004392; GO:0006788; GO:0046872; GO:0071281	cellular response to iron ion [GO:0071281]; heme oxidation [GO:0006788]	heme oxygenase (decyclizing) activity [GO:0004392]; metal ion binding [GO:0046872]	
G3XD43	PILE_PSEAE	pilE PA4556	PA4556	Type IV pilus non-core minor pilin PilE	GO:0005886; GO:0009297; GO:0043107; GO:0043683	pilus assembly [GO:0009297]; type IV pilus assembly [GO:0043683]; type IV pilus-dependent motility [GO:0043107]		plasma membrane [GO:0005886]
G3XD51	PILO_PSEAE	pilO PA5042	PA5042	Type IV pilus inner membrane component PilO	GO:0005886; GO:0043107; GO:0043683; GO:0044096	type IV pilus assembly [GO:0043683]; type IV pilus-dependent motility [GO:0043107]		plasma membrane [GO:0005886]; type IV pilus [GO:0044096]
P11436	AMIE_PSEAE	amiE PA3366	PA3366	Aliphatic amidase (EC 3.5.1.4) (Acylamide amidohydrolase)	GO:0004040; GO:0015976; GO:0016811; GO:0043605	amide catabolic process [GO:0043605]; carbon utilization [GO:0015976]	amidase activity [GO:0004040]; hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides [GO:0016811]	
P11724	OTCA_PSEAE	argF PA3537	PA3537	Ornithine carbamoyltransferase, anabolic (OTCase) (EC 2.1.3.3)	GO:0004585; GO:0005737; GO:0016597; GO:0019240; GO:0042450	citrulline biosynthetic process [GO:0019240]; L-arginine biosynthetic process via ornithine [GO:0042450]	amino acid binding [GO:0016597]; ornithine carbamoyltransferase activity [GO:0004585]	cytoplasm [GO:0005737]
P20580	TRPE_PSEAE	trpE PA0609	PA0609	Anthranilate synthase component 1 (AS) (ASI) (EC 4.1.3.27)	GO:0000162; GO:0004049; GO:0046872	L-tryptophan biosynthetic process [GO:0000162]	anthranilate synthase activity [GO:0004049]; metal ion binding [GO:0046872]	
P21175	BRAC_PSEAE	braC PA1074	PA1074	Leucine-, isoleucine-, valine-, threonine-, and alanine-binding protein (LIVAT-BP) (Leu/Ile/Val/Thr/Ala-binding protein)	GO:0015803; GO:0015808; GO:0015818; GO:0015820; GO:0015829; GO:0030288; GO:0042941; GO:1903805; GO:1903806	branched-chain amino acid transport [GO:0015803]; D-alanine transmembrane transport [GO:0042941]; isoleucine transport [GO:0015818]; L-alanine transport [GO:0015808]; L-isoleucine import across plasma membrane [GO:1903806]; L-leucine transport [GO:0015820]; L-valine import across plasma membrane [GO:1903805]; valine transport [GO:0015829]		outer membrane-bounded periplasmic space [GO:0030288]
P25061	GSPM_PSEAE	xcpZ PA3095	PA3095	Type II secretion system protein M (T2SS protein M) (General secretion pathway protein M)	GO:0005886; GO:0015627; GO:0015628	protein secretion by the type II secretion system [GO:0015628]		plasma membrane [GO:0005886]; type II protein secretion system complex [GO:0015627]
P27017	AMIC_PSEAE	amiC PA3364	PA3364	Aliphatic amidase expression-regulating protein	GO:0006865; GO:0016301; GO:0033218; GO:0034251; GO:0051346	amino acid transport [GO:0006865]; negative regulation of hydrolase activity [GO:0051346]; regulation of amide catabolic process [GO:0034251]	amide binding [GO:0033218]; kinase activity [GO:0016301]	
P30718	CH60_PSEAE	groEL groL mopA PA4385	PA4385	Chaperonin GroEL (EC 5.6.1.7) (60 kDa chaperonin) (Chaperonin-60) (Cpn60)	GO:0005524; GO:0006457; GO:0009408; GO:0016853; GO:0042026; GO:0051082; GO:0140662; GO:1990220	protein folding [GO:0006457]; protein refolding [GO:0042026]; response to heat [GO:0009408]	ATP binding [GO:0005524]; ATP-dependent protein folding chaperone [GO:0140662]; isomerase activity [GO:0016853]; unfolded protein binding [GO:0051082]	GroEL-GroES complex [GO:1990220]
P35483	PPBH_PSEAE	phoA PA3296	PA3296	Alkaline phosphatase H (EC 3.1.3.1) (High molecular weight phosphatase) (H-AP)	GO:0004035; GO:0005576; GO:0015628; GO:0042597; GO:0043952; GO:0046872	protein secretion by the type II secretion system [GO:0015628]; protein transport by the Sec complex [GO:0043952]	alkaline phosphatase activity [GO:0004035]; metal ion binding [GO:0046872]	extracellular region [GO:0005576]; periplasmic space [GO:0042597]
P38098	CARA_PSEAE	carA PA4758	PA4758	Carbamoyl phosphate synthase small chain (EC 6.3.5.5) (Carbamoyl phosphate synthetase glutamine chain)	GO:0004088; GO:0004359; GO:0005524; GO:0005737; GO:0005951; GO:0006207; GO:0006526; GO:0006541; GO:0044205; GO:0071230	'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; 'de novo' UMP biosynthetic process [GO:0044205]; cellular response to amino acid stimulus [GO:0071230]; glutamine metabolic process [GO:0006541]; L-arginine biosynthetic process [GO:0006526]	ATP binding [GO:0005524]; carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity [GO:0004088]; glutaminase activity [GO:0004359]	carbamoyl-phosphate synthase complex [GO:0005951]; cytoplasm [GO:0005737]
P49988	RP54_PSEAE	rpoN PA4462	PA4462	RNA polymerase sigma-54 factor	GO:0000428; GO:0000976; GO:0001216; GO:0006352; GO:0006355; GO:0016779; GO:0016987; GO:0032993; GO:1900191	DNA-templated transcription initiation [GO:0006352]; negative regulation of single-species biofilm formation [GO:1900191]; regulation of DNA-templated transcription [GO:0006355]	DNA-binding transcription activator activity [GO:0001216]; nucleotidyltransferase activity [GO:0016779]; sigma factor activity [GO:0016987]; transcription cis-regulatory region binding [GO:0000976]	DNA-directed RNA polymerase complex [GO:0000428]; protein-DNA complex [GO:0032993]
P50597	RNPH_PSEAE	rph PA5334	PA5334	Ribonuclease PH (RNase PH) (EC 2.7.7.56) (tRNA nucleotidyltransferase)	GO:0000049; GO:0000175; GO:0003723; GO:0008033; GO:0009022; GO:0016075; GO:0031125	rRNA 3'-end processing [GO:0031125]; rRNA catabolic process [GO:0016075]; tRNA processing [GO:0008033]	3'-5'-RNA exonuclease activity [GO:0000175]; RNA binding [GO:0003723]; tRNA binding [GO:0000049]; tRNA nucleotidyltransferase activity [GO:0009022]	
P72138	HIS52_PSEAE	hisH2 hisH PA3152	PA3152	Imidazole glycerol phosphate synthase subunit HisH 2 (EC 4.3.2.10) (IGP synthase glutaminase subunit 2) (EC 3.5.1.2) (IGP synthase subunit HisH 2) (ImGP synthase subunit HisH 2) (IGPS subunit HisH 2)	GO:0000105; GO:0000107; GO:0004359; GO:0009243; GO:0009382; GO:0016829	L-histidine biosynthetic process [GO:0000105]; O antigen biosynthetic process [GO:0009243]	glutaminase activity [GO:0004359]; imidazoleglycerol-phosphate synthase activity [GO:0000107]; lyase activity [GO:0016829]	imidazoleglycerol-phosphate synthase complex [GO:0009382]
P96956	ALGK_PSEAE	algK PA3543	PA3543	Alginate biosynthesis protein AlgK	GO:0009279; GO:0042121	alginic acid biosynthetic process [GO:0042121]		cell outer membrane [GO:0009279]
Q51472	IHFA_PSEAE	ihfA himA PA2738	PA2738	Integration host factor subunit alpha (IHF-alpha)	GO:0000976; GO:0001216; GO:0003677; GO:0005829; GO:0006310; GO:0006351; GO:0006417; GO:0030527; GO:0032993; GO:0045893	DNA recombination [GO:0006310]; DNA-templated transcription [GO:0006351]; positive regulation of DNA-templated transcription [GO:0045893]; regulation of translation [GO:0006417]	DNA binding [GO:0003677]; DNA-binding transcription activator activity [GO:0001216]; structural constituent of chromatin [GO:0030527]; transcription cis-regulatory region binding [GO:0000976]	cytosol [GO:0005829]; protein-DNA complex [GO:0032993]
Q59635	CATB_PSEAE	katB PA4613	PA4613	Catalase (EC 1.11.1.6) (Paraquat-inducible catalase isozyme B)	GO:0004096; GO:0005737; GO:0020037; GO:0042542; GO:0042597; GO:0042744; GO:0046872	hydrogen peroxide catabolic process [GO:0042744]; response to hydrogen peroxide [GO:0042542]	catalase activity [GO:0004096]; heme binding [GO:0020037]; metal ion binding [GO:0046872]	cytoplasm [GO:0005737]; periplasmic space [GO:0042597]
Q9HTB6	RMD_PSEAE	rmd PA5454	PA5454	GDP-6-deoxy-D-mannose reductase (EC 1.1.1.281)	GO:0009103; GO:0009243; GO:0016491; GO:0019306; GO:0033705; GO:0070402	GDP-D-rhamnose biosynthetic process [GO:0019306]; lipopolysaccharide biosynthetic process [GO:0009103]; O antigen biosynthetic process [GO:0009243]	GDP-4-dehydro-6-deoxy-D-mannose reductase activity [GO:0033705]; NADPH binding [GO:0070402]; oxidoreductase activity [GO:0016491]	
Q9HTK8	RUBR2_PSEAE	rubA2 alkG2 PA5350	PA5350	Rubredoxin-2 (Rdxs)	GO:0005506; GO:0005737; GO:0009055; GO:0043448	alkane catabolic process [GO:0043448]	electron transfer activity [GO:0009055]; iron ion binding [GO:0005506]	cytoplasm [GO:0005737]
Q9HU72	LGUL_PSEAE	gloA PA5111	PA5111	Lactoylglutathione lyase (EC 4.4.1.5) (Aldoketomutase) (Glyoxalase I) (Glx I) (Ketone-aldehyde mutase) (Methylglyoxalase) (S-D-lactoylglutathione methylglyoxal lyase)	GO:0004462; GO:0008270; GO:0019243	methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione [GO:0019243]	lactoylglutathione lyase activity [GO:0004462]; zinc ion binding [GO:0008270]	
Q9HUB1	MCPK_PSEAE	mcpK PA5072	PA5072	Methyl-accepting chemotaxis protein McpK (Methyl-accepting chemotaxis protein K)	GO:0004888; GO:0005886; GO:0006935; GO:0007165	chemotaxis [GO:0006935]; signal transduction [GO:0007165]	transmembrane signaling receptor activity [GO:0004888]	plasma membrane [GO:0005886]
Q9HUE6	SELO_PSEAE	ydiU selO PA5023	PA5023	Protein nucleotidyltransferase YdiU (EC 2.7.7.-) (Protein adenylyltransferase YdiU) (EC 2.7.7.108) (Protein uridylyltransferase YdiU) (EC 2.7.7.-)	GO:0000287; GO:0005524; GO:0030145; GO:0070733		AMPylase activity [GO:0070733]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; manganese ion binding [GO:0030145]	
Q9HUG9	HLDE_PSEAE	hldE rfaE PA4996	PA4996	Bifunctional protein HldE [Includes: D-beta-D-heptose 7-phosphate kinase (EC 2.7.1.167) (D-beta-D-heptose 7-phosphotransferase) (D-glycero-beta-D-manno-heptose-7-phosphate kinase); D-beta-D-heptose 1-phosphate adenylyltransferase (EC 2.7.7.70) (D-glycero-beta-D-manno-heptose 1-phosphate adenylyltransferase)]	GO:0005524; GO:0005829; GO:0009244; GO:0016773; GO:0033785; GO:0033786; GO:0097171	ADP-L-glycero-beta-D-manno-heptose biosynthetic process [GO:0097171]; lipopolysaccharide core region biosynthetic process [GO:0009244]	ATP binding [GO:0005524]; heptose 7-phosphate kinase activity [GO:0033785]; heptose-1-phosphate adenylyltransferase activity [GO:0033786]; phosphotransferase activity, alcohol group as acceptor [GO:0016773]	cytosol [GO:0005829]
Q9HUI9	ARUH_PSEAE	aruH PA4976	PA4976	Arginine--pyruvate transaminase AruH (EC 2.6.1.84)	GO:0006527; GO:0008483; GO:0019545; GO:0030170	L-arginine catabolic process [GO:0006527]; L-arginine catabolic process to succinate [GO:0019545]	pyridoxal phosphate binding [GO:0030170]; transaminase activity [GO:0008483]	
Q9HUK1	PARC_PSEAE	parC PA4964	PA4964	DNA topoisomerase 4 subunit A (EC 5.6.2.2) (Topoisomerase IV subunit A)	GO:0003677; GO:0003918; GO:0005524; GO:0005694; GO:0005737; GO:0006265; GO:0007059; GO:0009330; GO:0009340; GO:0019897	chromosome segregation [GO:0007059]; DNA topological change [GO:0006265]	ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity [GO:0003918]	chromosome [GO:0005694]; cytoplasm [GO:0005737]; DNA topoisomerase IV complex [GO:0009340]; DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) complex [GO:0009330]; extrinsic component of plasma membrane [GO:0019897]
Q9HV50	GLMM_PSEAE	glmM PA4749	PA4749	Phosphoglucosamine mutase (EC 5.4.2.10)	GO:0000287; GO:0004614; GO:0004615; GO:0005829; GO:0005975; GO:0006048; GO:0008966; GO:0009252	carbohydrate metabolic process [GO:0005975]; peptidoglycan biosynthetic process [GO:0009252]; UDP-N-acetylglucosamine biosynthetic process [GO:0006048]	magnesium ion binding [GO:0000287]; phosphoglucomutase activity [GO:0004614]; phosphoglucosamine mutase activity [GO:0008966]; phosphomannomutase activity [GO:0004615]	cytosol [GO:0005829]
Q9HVA2	ILVC_PSEAE	ilvC PA4694	PA4694	Ketol-acid reductoisomerase (NADP(+)) (KARI) (EC 1.1.1.86) (Acetohydroxy-acid isomeroreductase) (AHIR) (Alpha-keto-beta-hydroxylacyl reductoisomerase) (Ketol-acid reductoisomerase type 1) (Ketol-acid reductoisomerase type I)	GO:0000287; GO:0004455; GO:0005829; GO:0009097; GO:0009099; GO:0050661	isoleucine biosynthetic process [GO:0009097]; L-valine biosynthetic process [GO:0009099]	ketol-acid reductoisomerase activity [GO:0004455]; magnesium ion binding [GO:0000287]; NADP binding [GO:0050661]	cytosol [GO:0005829]
Q9HXC7	TPBA_PSEAE	tpbA PA3885	PA3885	Dual specificity protein phosphatase TpbA (DUSP) (EC 3.1.3.16) (EC 3.1.3.48) (Dual specific tyrosine phosphatase) (Tyrosine phosphatase related to biofilm formation A)	GO:0004722; GO:0004725; GO:0016791; GO:0042597		phosphatase activity [GO:0016791]; protein serine/threonine phosphatase activity [GO:0004722]; protein tyrosine phosphatase activity [GO:0004725]	periplasmic space [GO:0042597]
Q9HXE4	DAUB_PSEAE	dauB PA3862	PA3862	NAD(P)H-dependent anabolic L-arginine dehydrogenase DauB (EC 1.4.1.25)	GO:0005737; GO:0006525; GO:0006527; GO:0016639	arginine metabolic process [GO:0006525]; L-arginine catabolic process [GO:0006527]	oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor [GO:0016639]	cytoplasm [GO:0005737]
Q9HYG7	FOLX_PSEAE	folX PA3439	PA3439	Dihydroneopterin triphosphate 2'-epimerase (EC 5.1.99.7) (D-erythro-7,8-dihydroneopterin triphosphate epimerase)	GO:0004150; GO:0005737; GO:0005829; GO:0006729; GO:0006760; GO:0008719	folic acid-containing compound metabolic process [GO:0006760]; tetrahydrobiopterin biosynthetic process [GO:0006729]	dihydroneopterin aldolase activity [GO:0004150]; dihydroneopterin triphosphate 2'-epimerase activity [GO:0008719]	cytoplasm [GO:0005737]; cytosol [GO:0005829]
Q9HZ17	AZOR3_PSEAE	azoR3 PA3223	PA3223	FMN-dependent NADH:quinone oxidoreductase 3 (EC 1.6.5.-) (Azo-dye reductase 3) (FMN-dependent NADH-azo compound oxidoreductase 3) (FMN-dependent NADH-azoreductase 3) (EC 1.7.1.17)	GO:0006979; GO:0009055; GO:0010181; GO:0016652; GO:0016655	response to oxidative stress [GO:0006979]	electron transfer activity [GO:0009055]; FMN binding [GO:0010181]; oxidoreductase activity, acting on NAD(P)H as acceptor [GO:0016652]; oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor [GO:0016655]	
Q9HZ47	GTRS_PSEAE	gtrS PA3191	PA3191	Sensor histidine kinase GtrS (EC 2.7.13.3) (Glucose transport sensor)	GO:0000155; GO:0005524; GO:0005886		ATP binding [GO:0005524]; phosphorelay sensor kinase activity [GO:0000155]	plasma membrane [GO:0005886]
Q9HZK0	NAGZ_PSEAE	nagZ PA3005	PA3005	Beta-hexosaminidase (EC 3.2.1.52) (Beta-N-acetylhexosaminidase) (N-acetyl-beta-glucosaminidase)	GO:0005829; GO:0005975; GO:0008360; GO:0009252; GO:0009254; GO:0016231; GO:0046677; GO:0051301; GO:0071555	carbohydrate metabolic process [GO:0005975]; cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; peptidoglycan turnover [GO:0009254]; regulation of cell shape [GO:0008360]; response to antibiotic [GO:0046677]	beta-N-acetylglucosaminidase activity [GO:0016231]	cytosol [GO:0005829]
Q9I0F3	VGR1C_PSEAE	vgrG1c PA2685	PA2685	Type VI secretion system spike protein VgrG1c	GO:0005576; GO:0033103; GO:0033104	protein secretion by the type VI secretion system [GO:0033103]		extracellular region [GO:0005576]; type VI protein secretion system complex [GO:0033104]
Q9I0Y9	MEXE_PSEAE	mexE PA2493	PA2493	Multidrug resistance protein MexE (Membrane fusion protein MexE)	GO:0005886; GO:0022857; GO:0046677	response to antibiotic [GO:0046677]	transmembrane transporter activity [GO:0022857]	plasma membrane [GO:0005886]
Q9I1H0	AMBB_PSEAE	ambB PA2305	PA2305	AMB antimetabolite synthetase AmbB (EC 6.2.1.67) (L-alanine--[L-alanyl-carrier protein] ligase) (Nonribosomal peptide synthetase AmbB)	GO:0005737; GO:0005829; GO:0009239; GO:0009366; GO:0031177; GO:0043041; GO:0047527	amino acid activation for nonribosomal peptide biosynthetic process [GO:0043041]; enterobactin biosynthetic process [GO:0009239]	2,3-dihydroxybenzoate-serine ligase activity [GO:0047527]; phosphopantetheine binding [GO:0031177]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; enterobactin synthetase complex [GO:0009366]
Q9I2V0	LPXH_PSEAE	lpxH PA1792	PA1792	UDP-2,3-diacylglucosamine hydrolase (EC 3.6.1.54) (UDP-2,3-diacylglucosamine diphosphatase)	GO:0005737; GO:0008758; GO:0009245; GO:0019897; GO:0030145; GO:0051861	lipid A biosynthetic process [GO:0009245]	glycolipid binding [GO:0051861]; manganese ion binding [GO:0030145]; UDP-2,3-diacylglucosamine hydrolase activity [GO:0008758]	cytoplasm [GO:0005737]; extrinsic component of plasma membrane [GO:0019897]
Q9I317	PSCE_PSEAE	pscE PA1718	PA1718	Type 3 secretion system chaperone PscE (Pseudomonas secretion protein E) (Type III export protein PscE)	GO:0005737; GO:0030254	protein secretion by the type III secretion system [GO:0030254]		cytoplasm [GO:0005737]
Q9I3F6	AER_PSEAE	aer tlpC PA1561	PA1561	Methyl-accepting chemotaxis protein Aer (Aerotaxis receptor Aer)	GO:0004888; GO:0005886; GO:0006935; GO:0007165; GO:0009454; GO:0052131	aerotaxis [GO:0009454]; chemotaxis [GO:0006935]; positive aerotaxis [GO:0052131]; signal transduction [GO:0007165]	transmembrane signaling receptor activity [GO:0004888]	plasma membrane [GO:0005886]
